rank,name,name_url,team,team_url,salary
83,Norman Powell,https://www.espn.com/nba/player/_/id/2595516/norman-powell,LA Clippers,https://www.espn.com/nba/team/_/name/lac/la-clippers,"$16,758,621"
84,Dejounte Murray,https://www.espn.com/nba/player/_/id/3907497/dejounte-murray,Atlanta Hawks,https://www.espn.com/nba/team/_/name/atl/atlanta-hawks,"$16,571,120"
85,Collin Sexton,https://www.espn.com/nba/player/_/id/4277811/collin-sexton,Utah Jazz,https://www.espn.com/nba/team/_/name/utah/utah-jazz,"$16,500,000"
86,Markelle Fultz,https://www.espn.com/nba/player/_/id/4066636/markelle-fultz,Orlando Magic,https://www.espn.com/nba/team/_/name/orl/orlando-magic,"$16,500,000"
87,Lauri Markkanen,https://www.espn.com/nba/player/_/id/4066336/lauri-markkanen,Utah Jazz,https://www.espn.com/nba/team/_/name/utah/utah-jazz,"$16,475,454"
88,Marcus Morris Sr.,https://www.espn.com/nba/player/_/id/6462/marcus-morris-sr.,LA Clippers,https://www.espn.com/nba/team/_/name/lac/la-clippers,"$16,372,093"
89,Davis Bertans,https://www.espn.com/nba/player/_/id/6426/davis-bertans,Dallas Mavericks,https://www.espn.com/nba/team/_/name/dal/dallas-mavericks,"$16,000,000"
90,Jusuf Nurkic,https://www.espn.com/nba/player/_/id/3102530/jusuf-nurkic,Portland Trail Blazers,https://www.espn.com/nba/team/_/name/por/portland-trail-blazers,"$15,625,000"
91,Malik Beasley,https://www.espn.com/nba/player/_/id/3907822/malik-beasley,Los Angeles Lakers,https://www.espn.com/nba/team/_/name/lal/los-angeles-lakers,"$15,558,035"
92,Luguentz Dort,https://www.espn.com/nba/player/_/id/4397020/luguentz-dort,Oklahoma City Thunder,https://www.espn.com/nba/team/_/name/okc/oklahoma-city-thunder,"$15,277,778"
93,Jonas Valanciunas,https://www.espn.com/nba/player/_/id/6477/jonas-valanciunas,New Orleans Pelicans,https://www.espn.com/nba/team/_/name/no/new-orleans-pelicans,"$14,700,000"
94,Kevin Huerter,https://www.espn.com/nba/player/_/id/4066372/kevin-huerter,Sacramento Kings,https://www.espn.com/nba/team/_/name/sac/sacramento-kings,"$14,508,929"
95,Luke Kennard,https://www.espn.com/nba/player/_/id/3913174/luke-kennard,Memphis Grizzlies,https://www.espn.com/nba/team/_/name/mem/memphis-grizzlies,"$14,415,545"
96,Christian Wood,https://www.espn.com/nba/player/_/id/3058254/christian-wood,Dallas Mavericks,https://www.espn.com/nba/team/_/name/dal/dallas-mavericks,"$14,317,460"
97,Wendell Carter Jr.,https://www.espn.com/nba/player/_/id/4277847/wendell-carter-jr.,Orlando Magic,https://www.espn.com/nba/team/_/name/orl/orlando-magic,"$14,150,000"
98,Kentavious Caldwell-Pope,https://www.espn.com/nba/player/_/id/2581018/kentavious-caldwell-pope,Denver Nuggets,https://www.espn.com/nba/team/_/name/den/denver-nuggets,"$14,004,703"
99,Brook Lopez,https://www.espn.com/nba/player/_/id/3448/brook-lopez,Milwaukee Bucks,https://www.espn.com/nba/team/_/name/mil/milwaukee-bucks,"$13,906,976"
100,Doug McDermott,https://www.espn.com/nba/player/_/id/2528588/doug-mcdermott,San Antonio Spurs,https://www.espn.com/nba/team/_/name/sa/san-antonio-spurs,"$13,750,000"
101,Zion Williamson,https://www.espn.com/nba/player/_/id/4395628/zion-williamson,New Orleans Pelicans,https://www.espn.com/nba/team/_/name/no/new-orleans-pelicans,"$13,534,817"
102,Jordan Clarkson,https://www.espn.com/nba/player/_/id/2528426/jordan-clarkson,Utah Jazz,https://www.espn.com/nba/team/_/name/utah/utah-jazz,"$13,340,000"
103,Kyle Kuzma,https://www.espn.com/nba/player/_/id/3134907/kyle-kuzma,Washington Wizards,https://www.espn.com/nba/team/_/name/wsh/washington-wizards,"$13,000,000"
104,Gary Harris,https://www.espn.com/nba/player/_/id/2999547/gary-harris,Orlando Magic,https://www.espn.com/nba/team/_/name/orl/orlando-magic,"$13,000,000"
105,Josh Hart,https://www.espn.com/nba/player/_/id/3062679/josh-hart,New York Knicks,https://www.espn.com/nba/team/_/name/ny/new-york-knicks,"$12,960,000"
106,Dorian Finney-Smith,https://www.espn.com/nba/player/_/id/2578185/dorian-finney-smith,Brooklyn Nets,https://www.espn.com/nba/team/_/name/bkn/brooklyn-nets,"$12,939,648"
107,Chris Boucher,https://www.espn.com/nba/player/_/id/3948153/chris-boucher,Toronto Raptors,https://www.espn.com/nba/team/_/name/tor/toronto-raptors,"$12,690,000"
108,Kelly Oubre Jr.,https://www.espn.com/nba/player/_/id/3133603/kelly-oubre-jr.,Charlotte Hornets,https://www.espn.com/nba/team/_/name/cha/charlotte-hornets,"$12,600,000"
109,Marvin Bagley III,https://www.espn.com/nba/player/_/id/4277848/marvin-bagley-iii,Detroit Pistons,https://www.espn.com/nba/team/_/name/det/detroit-pistons,"$12,500,000"
110,Robert Covington,https://www.espn.com/nba/player/_/id/2490620/robert-covington,LA Clippers,https://www.espn.com/nba/team/_/name/lac/la-clippers,"$12,307,692"
111,Kelly Olynyk,https://www.espn.com/nba/player/_/id/2489663/kelly-olynyk,Utah Jazz,https://www.espn.com/nba/team/_/name/utah/utah-jazz,"$12,195,122"
112,Josh Richardson,https://www.espn.com/nba/player/_/id/2581190/josh-richardson,New Orleans Pelicans,https://www.espn.com/nba/team/_/name/no/new-orleans-pelicans,"$11,615,328"
113,Devonte' Graham,https://www.espn.com/nba/player/_/id/3133601/devonte'-graham,San Antonio Spurs,https://www.espn.com/nba/team/_/name/sa/san-antonio-spurs,"$11,550,000"
114,Dillon Brooks,https://www.espn.com/nba/player/_/id/3155526/dillon-brooks,Memphis Grizzlies,https://www.espn.com/nba/team/_/name/mem/memphis-grizzlies,"$11,400,000"
115,Richaun Holmes,https://www.espn.com/nba/player/_/id/2993370/richaun-holmes,Sacramento Kings,https://www.espn.com/nba/team/_/name/sac/sacramento-kings,"$11,215,260"
116,Dwight Powell,https://www.espn.com/nba/player/_/id/2531367/dwight-powell,Dallas Mavericks,https://www.espn.com/nba/team/_/name/dal/dallas-mavericks,"$11,080,125"
117,Paolo Banchero,https://www.espn.com/nba/player/_/id/4432573/paolo-banchero,Orlando Magic,https://www.espn.com/nba/team/_/name/orl/orlando-magic,"$11,055,120"
